TP1;TIRA;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;001;005;157;01;01;1;07;32;003001;013006;13;;;;;;3283;4924;4924;467;867;0
4;001;005;157;01;04;2;13;32;013006;003001;07;;;;;;3283;4924;4924;867;467;0
4;001;005;157;01;04;1;01;21;011009;013006;13;1;1;3;2;01;1884;2893;2893;67;867;0
4;001;005;185;01;01;1;02;32;002004;028005;00;;;;;;1475;2213;2213;133;0;0
4;001;005;185;01;01;2;00;32;028005;009010;00;;;;;;288;432;432;0;0;0
4;001;005;185;01;01;3;00;31;009010;027005;03;;;;;;1584;2375;2375;0;200;0
4;001;005;185;01;02;1;03;31;027005;009010;20;;;;;;1584;2375;2375;200;1333;0
4;001;005;202;01;01;1;00;11;001005;028008;00;0;1;1;2;00;3085;5335;5335;0;0;0
4;001;005;202;01;02;1;00;11;028008;001005;00;0;1;1;2;00;3085;5335;5335;0;0;0
4;001;006;006;01;01;1;01;22;900074;028011;01;;;;;;309154;407254;23988;67;67;0
4;001;006;006;01;01;4;01;31;002004;001005;01;;;;;;161;242;242;67;67;0
4;001;006;006;01;01;3;01;32;028010;002004;01;;;;;;2078;3117;3117;67;67;0
4;001;006;006;01;01;2;01;32;028011;028010;01;;;;;;1499;2249;2249;67;67;0
4;001;006;014;01;02;2;00;31;023001;024005;02;;;;;;1262;1893;1893;0;133;0
4;001;006;014;01;02;1;05;32;002005;023001;00;;;;;;4774;7162;7162;333;0;0
4;001;006;014;01;03;1;02;31;024005;023001;00;;;;;;1262;1893;1893;133;0;0
4;001;006;014;01;03;2;00;32;023001;002005;05;;;;;;4774;7162;7162;0;333;0
4;001;006;031;01;01;1;03;22;001002;005005;00;;;;;;1191;1745;1745;200;0;0
4;001;006;039;01;01;2;00;32;023001;001011;15;;;;;;4239;6359;6359;0;1000;0
4;001;006;039;01;01;1;00;22;040004;023001;00;;;;;;7890;9804;9804;0;0;0
4;001;006;065;01;01;1;10;32;002005;028011;05;;;;;;2965;4448;4448;667;333;0
4;001;006;065;01;05;1;00;22;028007;003002;10;;;;;;2283;3187;3187;0;667;0
4;001;006;128;01;03;1;07;31;003001;016007;05;;;;;;3498;5247;5247;467;333;0
4;001;006;128;01;04;1;05;31;016006;003001;07;;;;;;3945;5917;5917;333;467;0
4;001;007;112;01;01;1;05;21;001003;065001;04;1;1;3;2;00;26456;30993;30993;333;267;0
4;001;007;112;01;02;1;04;21;065001;001003;03;1;1;1;3;00;26456;31107;31107;267;200;0
4;001;007;131;01;01;1;05;32;002005;022002;03;;;;;;3018;4527;4527;333;200;0
4;001;007;131;01;02;1;03;32;022002;002005;05;;;;;;3018;4527;4527;200;333;0
4;001;007;131;01;03;1;05;32;002005;035010;05;;;;;;4422;6633;6633;333;333;0
4;001;007;131;01;04;1;05;32;035010;002005;05;;;;;;4422;6633;6633;333;333;0
4;001;008;001;01;01;1;03;32;006013;022006;05;;;;;;601;901;901;200;333;0
4;001;008;001;01;02;1;05;32;022006;006013;03;;;;;;601;901;901;333;200;0
4;001;008;001;02;01;1;02;32;001011;003001;01;;;;;;961;1442;1442;133;67;0
4;001;008;001;02;01;3;02;39;200003;200016;10;;;;;;3259;4889;0;133;667;0
4;001;008;001;02;01;2;01;51;003551;200003;02;;;;;;46090;69134;36929;67;133;0
4;001;008;001;02;02;3;01;32;003001;001011;02;;;;;;961;1442;1442;67;133;0
4;001;008;001;02;02;1;10;39;200016;200003;02;;;;;;3259;4889;0;667;133;0
4;001;008;001;02;02;2;02;51;200003;003551;01;;;;;;46090;69134;37191;133;67;0
4;001;008;029;01;01;1;05;39;900075;900075;05;;;;;;0;0;0;333;333;0
4;001;008;029;01;01;2;05;51;900075;003551;02;;;;;;595148;892722;89570;333;133;0
4;001;008;029;01;01;3;02;32;003001;001011;05;;;;;;961;1442;1442;133;333;0
4;001;008;081;01;03;1;00;11;001008;027001;00;0;1;2;2;00;2146;2797;2797;0;0;0
4;001;008;081;01;04;1;00;11;027001;001008;00;0;1;1;2;00;2146;2797;2797;0;0;0
4;001;008;199;01;01;1;00;11;001008;001011;00;0;1;3;2;00;259;520;520;0;0;0
4;001;008;199;01;02;1;00;11;001011;001008;00;0;1;1;2;00;259;520;520;0;0;0
4;001;008;201;01;02;1;04;32;006011;022006;07;;;;;;1378;2067;2067;267;467;0
4;001;008;201;01;03;1;06;32;022006;006011;05;;;;;;1378;2067;2067;400;333;0
4;001;008;201;02;01;1;06;32;006011;022006;07;;;;;;1378;2067;2067;400;467;0
4;001;008;201;02;02;1;06;32;022006;006011;06;;;;;;1378;2067;2067;400;400;0
4;001;009;062;01;01;1;20;51;003551;071004;03;;;;;;19324;28985;28985;1333;200;0
4;001;009;062;01;02;1;00;22;071001;067021;00;;;;;;11427;16402;16402;0;0;0
4;001;009;062;02;01;1;00;22;066017;073001;01;;;;;;21032;33932;33932;0;67;0
4;001;009;062;02;01;2;01;51;073001;003551;10;;;;;;26253;39379;39379;67;667;0
4;001;009;095;01;01;1;03;32;001011;022006;05;;;;;;1966;2949;2949;200;333;0
4;001;009;095;01;02;1;05;32;022006;001011;03;;;;;;1966;2949;2949;333;200;0
4;001;009;105;01;01;1;00;11;001009;028010;00;0;1;1;2;00;2435;8134;8134;0;0;0
4;001;009;105;01;02;1;00;11;028010;010003;00;0;1;2;2;00;820;9230;9230;0;0;0
4;001;009;164;01;02;1;01;32;006011;022006;00;;;;;;1378;2067;2067;67;0;0
4;001;009;164;01;02;2;00;31;022007;025002;02;;;;;;633;949;949;0;133;0
4;001;009;164;01;03;1;15;32;022006;001011;01;;;;;;1966;2949;2949;1000;67;0
4;001;009;191;01;01;1;02;32;001011;028010;02;;;;;;2369;3553;3553;133;133;0
4;001;009;191;01;03;1;02;32;028010;002005;01;;;;;;1816;2724;2724;133;67;0
4;001;010;008;01;01;1;10;21;009009;032009;01;1;1;3;2;00;6851;8182;8182;667;67;0
4;001;010;008;01;02;1;00;21;032009;009009;10;1;1;1;3;00;6851;7868;7868;0;667;0
4;001;010;046;01;03;1;05;32;001011;028005;02;;;;;;1675;2512;2512;333;133;0
4;001;010;046;01;03;2;02;32;028005;009009;02;;;;;;698;1047;1047;133;133;0
4;001;010;046;01;04;1;02;32;009009;028005;02;;;;;;698;1047;1047;133;133;0
4;001;010;046;01;04;2;02;32;028005;001011;05;;;;;;1675;2512;2512;133;333;0
4;001;010;046;02;01;1;05;32;002007;026010;02;;;;;;1860;2790;2790;333;133;0
