PP1;TIRA;PP2;ECH;PER;DATE;PENQ;JOURDEP;P2;P3;P4;P7;P8;P9;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24A;P11A;P25;P26;PL27;PL28;P12A;P12B;P12C;P12D;P12E;P12F;P1;COE1;COEP;DP13;PFIN
2;067;010;021;04;031213;1;1;1;3;29;1;5;1;5;046006;1;3;;1;5;5;1;2;5;4;1;1;5;5;4;4;4;4;4;;1;74.85901;74.85901;11538;0
2;067;010;021;02;031213;1;1;1;1;56;1;5;1;5;067009;1;3;;5;5;5;1;5;5;3;1;1;5;5;4;4;4;4;4;;1;76.33809;76.33809;1667;0
2;067;010;076;04;080114;1;2;1;3;11;2;0;5;5;067010;;;;1;2;5;5;5;5;7;1;;5;5;4;4;4;4;4;;1;61.99322;61.99322;516;0
2;067;010;080;02;180114;1;5;2;3;12;2;0;5;5;067010;;;;1;5;5;5;4;4;7;2;;5;4;1;1;1;1;1;3;1;38.53339;38.53339;516;0
2;067;010;080;03;180114;1;5;1;3;09;2;0;5;5;067010;;;;1;5;5;5;4;4;7;1;;5;4;1;1;1;1;1;3;1;80.92441;80.92441;516;0
2;067;010;080;04;180114;1;5;2;3;07;2;0;5;5;067010;;;;1;5;5;5;4;4;7;1;;5;4;1;1;1;1;1;3;1;80.92441;80.92441;516;0
2;067;010;084;01;150214;1;5;1;1;57;1;2;1;5;067010;3;;3;1;5;5;4;4;5;5;1;1;5;5;4;4;4;4;4;;1;110.0333;110.0333;516;0
2;067;010;084;02;150214;1;5;2;2;51;1;4;1;5;067010;3;;3;1;5;5;4;4;5;5;1;1;5;5;4;4;4;4;4;;1;71.84915;71.84915;516;0
2;067;010;089;03;300114;1;3;2;3;05;2;0;5;5;067010;;;;1;5;5;5;2;4;7;1;;5;5;4;4;4;4;4;;1;130.1927;130.1927;516;0
2;067;010;116;03;210314;1;4;1;3;14;2;0;5;5;067021;;;;1;2;5;5;2;5;7;1;;5;1;4;4;1;4;4;;1;38.53339;38.53339;6053;0
2;067;010;116;04;210314;1;4;1;3;11;2;0;5;5;070001;;;;2;2;5;5;2;5;7;1;;5;1;4;4;1;4;4;;1;38.53339;38.53339;3627;0
2;067;010;116;01;210314;1;4;1;1;41;1;5;1;5;070014;1;2;;4;3;5;1;5;5;5;1;1;5;5;4;4;4;4;4;;1;49.84695;49.84695;5175;0
2;067;010;031;02;031213;1;1;2;2;48;1;5;1;5;074351;1;1;;1;4;5;1;4;5;5;2;6;5;5;4;4;4;4;4;;1;111.0348;111.0348;9773;0
2;067;010;076;03;080114;1;2;1;3;16;3;0;5;5;074351;;;;1;5;5;5;5;4;7;1;;5;1;3;3;3;4;4;2;1;61.99322;61.99322;9773;0
2;067;010;076;01;080114;1;2;2;2;47;1;6;1;5;075001;1;3;;5;5;5;1;5;5;4;1;1;5;5;4;4;4;4;4;;1;80.19468;80.19468;8185;0
2;067;010;031;03;031213;1;1;1;3;22;1;4;1;5;075004;1;3;;1;4;5;1;4;5;6;1;1;5;5;4;4;4;4;4;;1;178.4164;178.4164;8440;0
2;067;010;021;05;031213;1;1;1;3;21;1;4;2;5;075011;1;3;;2;5;5;1;2;4;6;1;1;5;5;4;4;4;4;4;;1;80.09661;80.09661;9412;0
